id;Tgl;Kab/Kota;Tingkat Harga;BMB;BMK;BPI;BPL;BNC;CMB;CMK;CRH;CRM;KBK;KTG;KLB;KLG;MTM;TMT;WRT;CHB
26442;23 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;50000;32000;52000;0;11000;0;1000;0;2000;9000;0
26623;26 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;40000;25000;35000;0;11000;0;1000;0;2000;9000;0
26624;26 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;40000;25000;35000;0;11000;0;1000;0;2000;9000;0
26741;27 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;52000;32000;52000;0;11000;0;1000;0;2000;9000;0
26777;28 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;52000;32000;52000;0;11000;0;1000;0;2000;9000;0
26845;29 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;40000;32000;50000;0;11000;0;1000;0;2000;9000;0
26895;30 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;40000;32000;50000;0;11000;0;1000;0;2000;9000;0
26985;03 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;42000;32000;45000;0;10000;0;1000;0;2000;9000;0
27039;04 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;47000;32000;52000;0;10000;0;1000;0;2000;9000;0
27075;05 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;47000;32000;52000;0;10000;0;1000;0;3000;9000;0
27168;06 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;47000;32000;52000;0;10000;0;1000;0;3000;9000;0
27215;07 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;47000;27000;42000;0;10000;0;1000;0;3000;9000;0
27302;10 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;47000;27000;42000;0;10000;0;1000;0;3000;9000;0
27369;11 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;42000;16000;35000;0;10000;0;1000;0;3000;7000;0
27404;12 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;42000;16000;35000;0;10000;0;1000;0;3000;7000;0
27473;13 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;42000;16000;35000;0;10000;0;1200;0;3000;7000;0
27515;14 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;42000;16000;35000;0;10000;0;1200;0;3500;7000;0
27629;17 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;32000;18000;37000;0;10000;0;1500;0;4000;7000;0
27666;18 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;27000;17000;32000;0;10000;0;1500;0;4000;7000;0
27715;19 Oktober 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;27000;17000;32000;0;10000;0;1500;0;4000;7000;0
27768;20 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;27000;16000;32000;0;10000;0;1500;0;4000;6500;0
27839;21 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;27000;16000;32000;0;10000;0;1500;0;4000;6500;0
27910;24 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;27000;16000;32000;0;10000;0;1500;0;4000;5000;0
27994;25 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;32000;18000;32000;0;10000;0;2000;0;4000;5000;0
28067;26 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;32000;18000;32000;0;10000;0;2000;0;4500;5000;0
28113;27 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;32000;18000;32000;0;10000;0;2000;0;4500;5000;0
28189;28 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;32000;16000;32000;0;10000;0;2500;0;5000;5000;0
28458;03 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;32000;16000;32000;0;10000;0;2000;0;5000;5000;0
28612;07 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;16000;32000;0;10000;0;2000;0;6000;5000;0
28616;31 Oktober 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;32000;16000;32000;0;10000;0;2500;0;5000;5000;0
28618;01 November 2022;Wonosobo;Harga Produsen;0;16000;0;17000;0;0;32000;16000;32000;0;10000;0;2500;0;5000;5000;0
28632;02 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;32000;16000;32000;0;10000;0;2000;0;5000;5000;0
28655;08 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;16000;32000;0;10000;0;2000;0;6000;5000;0
28685;09 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;25000;16000;32000;0;10000;0;2000;0;6000;5000;0
28748;10 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;20000;14000;27000;0;10000;0;2500;0;6000;5000;0
28795;11 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;20000;14000;27000;0;10000;0;2500;0;6000;5000;0
28871;14 November 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;16000;14000;21000;0;10000;0;2500;0;11000;6000;0
